"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0410"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
"KOG0411"	1	2	1	0	1	1	2	1	1	1	1	1	2	2	1	1	1	0	0	0	2	0	1	1	1	1	3	1	2	1	1	1	2	1	1	2	1	1	1	0	1
"KOG0430"	5	0	0	0	1	0	3	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	1	5	0	0	0	1	4	1	0	1	0	1	0	3	0	3	0	0	1
"KOG0441"	3	2	0	0	1	1	2	1	1	1	1	9	0	0	0	0	1	2	1	0	0	0	2	1	0	0	1	0	2	1	0	1	0	0	0	1	3	3	0	0	0
"KOG0449"	1	2	0	0	1	1	1	1	1	1	1	2	0	0	0	0	1	2	1	0	2	1	1	0	0	0	1	1	1	0	0	1	2	0	1	1	1	0	0	0	1
"KOG0450"	2	5	0	0	2	2	2	2	2	2	2	1	0	0	0	0	2	3	1	2	4	3	3	1	0	0	4	2	4	2	1	1	2	3	1	1	2	2	1	2	1
"KOG0451"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0
"KOG0453"	3	6	0	0	2	2	3	3	3	3	3	1	0	0	0	0	1	3	2	0	6	3	4	3	0	0	5	1	6	2	0	1	2	2	2	4	3	1	0	0	3
"KOG0454"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
"KOG0455"	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1
